ratio,merge_sort,quick_sort_2,quick_sort_3,comb_sort,radix_sort,heap_sort
0.2,0.07208425999999998,0.06104008000000001,0.04913375000000002,0.10848304000000004,0.13298022,0.11939919999999997
0.289,0.10887495999999997,0.0937759900000001,0.07360034000000001,0.18091073999999996,0.20078514000000008,0.18503856000000005
0.378,0.14883135000000008,0.13027930999999998,0.09521973000000021,0.24435265000000017,0.2656770999999997,0.25120822000000004
0.467,0.18976716999999982,0.1679961100000001,0.11905071000000005,0.31576397000000017,0.3347088499999996,0.32813703000000005
0.556,0.2307190199999999,0.20962190000000014,0.1454849499999998,0.3740439200000004,0.40268972000000003,0.3988846200000003
0.644,0.2808789500000001,0.2555258999999991,0.17204781999999968,0.48504448999999905,0.5001034900000004,0.49907033999999956
0.733,0.32973675,0.30551272000000046,0.20059791000000082,0.5465198199999997,0.5750964900000006,0.5763623200000005
0.822,0.3812412300000002,0.3564678700000005,0.2373116600000003,0.7157686999999996,0.6813814200000003,0.6859714999999997
0.911,0.4346553199999995,0.41983909999999935,0.26242094999999993,0.7956525699999993,0.763741000000001,0.7740536699999986
1.0,0.48064809999999836,0.46962470000000067,0.28777398000000004,0.9672016500000005,0.8772652300000019,0.8857977499999989
