ratio,merge_sort,quick_sort_2,quick_sort_3,comb_sort,heap_sort
0.2,0.08010076,0.19400391,0.03581553999999999,0.12874616000000003,0.13339347000000001
0.289,0.13142484000000004,0.38215603000000004,0.050899519999999934,0.21411474000000008,0.20636945
0.378,0.16315105999999976,0.59481218,0.07293410000000025,0.2922313400000001,0.2861389799999999
0.467,0.20978066999999978,0.896234190000001,0.09449530000000017,0.42436171999999994,0.38408305999999987
0.556,0.2596153900000001,1.2524480499999995,0.1293721099999999,0.5281303100000005,0.4918202499999996
0.644,0.30797950999999985,1.664421679999999,0.1476053499999999,0.6857314500000001,0.5908573999999988
0.733,0.36090250000000024,2.1291127500000018,0.17246402000000033,0.8504009599999997,0.6927682800000007
0.822,0.4197547000000014,2.708884329999999,0.21653741000000082,1.069051829999998,0.822931819999998
0.911,0.48575535000000086,3.327115029999999,0.23995286000000107,1.2307179399999981,0.9426673499999992
1.0,0.5224320599999999,4.136208970000001,0.2621410099999991,1.4227918499999987,1.0336435800000003
